frequency_Hz Strouhal SPL_dB_raw p_rms_Pa
1.26580676e-01 3.50587879e-05 6.40574001e+01 3.19080308e-02
2.53161352e-01 7.01175757e-05 5.23397297e+01 8.27973579e-03
3.79742029e-01 1.05176364e-04 4.74270260e+01 4.70306841e-03
5.06322705e-01 1.40235151e-04 4.24776974e+01 2.66020352e-03
6.32903381e-01 1.75293939e-04 4.32098363e+01 2.89415516e-03
7.59484057e-01 2.10352727e-04 4.98755188e+01 6.23456185e-03
8.86064733e-01 2.45411515e-04 3.72992148e+01 1.46551657e-03
1.01264541e+00 2.80470303e-04 4.60568632e+01 4.01673479e-03
1.13922609e+00 3.15529091e-04 3.50969975e+01 1.13731266e-03
1.26580676e+00 3.50587879e-04 3.55194377e+01 1.19399328e-03
1.39238744e+00 3.85646667e-04 4.96893770e+01 6.10237435e-03
1.51896811e+00 4.20705454e-04 4.37869102e+01 3.09296857e-03
1.64554879e+00 4.55764242e-04 3.32602384e+01 9.20538414e-04
1.77212947e+00 4.90823030e-04 4.63814167e+01 4.16966179e-03
1.89871014e+00 5.25881818e-04 3.84911190e+01 1.68107057e-03
2.02529082e+00 5.60940606e-04 4.17463557e+01 2.44538801e-03
2.15187150e+00 5.95999394e-04 3.89429438e+01 1.77083129e-03
2.27845217e+00 6.31058182e-04 4.09152831e+01 2.22225632e-03
2.40503285e+00 6.66116969e-04 3.89854617e+01 1.77952084e-03
2.53161352e+00 7.01175757e-04 4.39739053e+01 3.16027779e-03
2.65819420e+00 7.36234545e-04 3.82165820e+01 1.62876750e-03
2.78477488e+00 7.71293333e-04 2.78977613e+01 4.96498636e-04
2.91135555e+00 8.06352121e-04 4.04297002e+01 2.10143038e-03
3.03793623e+00 8.41410909e-04 3.86541172e+01 1.71291518e-03
3.16451690e+00 8.76469697e-04 3.67205416e+01 1.37106194e-03
3.29109758e+00 9.11528485e-04 4.64933764e+01 4.22375594e-03
3.41767826e+00 9.46587272e-04 4.78880957e+01 4.95946446e-03
3.54425893e+00 9.81646060e-04 3.91847964e+01 1.82083174e-03
3.67083961e+00 1.01670485e-03 4.62349640e+01 4.09994655e-03
3.79742029e+00 1.05176364e-03 3.86711118e+01 1.71626990e-03
3.92400096e+00 1.08682242e-03 3.51155724e+01 1.13974741e-03
4.05058164e+00 1.12188121e-03 4.86244050e+01 5.39821587e-03
4.17716231e+00 1.15694000e-03 4.75870615e+01 4.79052455e-03
4.30374299e+00 1.19199879e-03 4.44117424e+01 3.32366401e-03
4.43032367e+00 1.22705758e-03 4.04503088e+01 2.10642227e-03
4.55690434e+00 1.26211636e-03 3.12480194e+01 7.30181738e-04
4.68348502e+00 1.29717515e-03 3.69509980e+01 1.40792621e-03
4.81006570e+00 1.33223394e-03 3.59560981e+01 1.25555256e-03
4.93664637e+00 1.36729273e-03 1.82599048e+01 1.63691163e-04
5.06322705e+00 1.40235151e-03 3.43377381e+01 1.04211801e-03
5.18980772e+00 1.43741030e-03 2.95430781e+01 6.00045113e-04
5.31638840e+00 1.47246909e-03 4.04810623e+01 2.11389354e-03
5.44296908e+00 1.50752788e-03 4.18117090e+01 2.46385669e-03
5.56954975e+00 1.54258667e-03 4.23073565e+01 2.60854191e-03
5.69613043e+00 1.57764545e-03 3.02841267e+01 6.53486066e-04
5.82271110e+00 1.61270424e-03 3.80973528e+01 1.60656254e-03
5.94929178e+00 1.64776303e-03 4.40636213e+01 3.19308927e-03
6.07587246e+00 1.68282182e-03 4.22332857e+01 2.58639159e-03
6.20245313e+00 1.71788061e-03 4.09276862e+01 2.22543189e-03
6.32903381e+00 1.75293939e-03 4.03325488e+01 2.07805691e-03
6.45561449e+00 1.78799818e-03 3.89896390e+01 1.78037688e-03
6.58219516e+00 1.82305697e-03 4.08950933e+01 2.21709682e-03
6.70877584e+00 1.85811576e-03 4.36585744e+01 3.04760527e-03
6.83535651e+00 1.89317454e-03 4.44761513e+01 3.34840177e-03
6.96193719e+00 1.92823333e-03 3.86172120e+01 1.70565266e-03
7.08851787e+00 1.96329212e-03 3.80714882e+01 1.60178567e-03
7.21509854e+00 1.99835091e-03 4.64822247e+01 4.21833660e-03
7.34167922e+00 2.03340970e-03 4.55951182e+01 3.80878017e-03
7.46825990e+00 2.06846848e-03 2.11212199e+01 2.27557415e-04
7.59484057e+00 2.10352727e-03 4.24542715e+01 2.65303860e-03
7.72142125e+00 2.13858606e-03 4.73542941e+01 4.66385136e-03
7.84800192e+00 2.17364485e-03 4.09831845e+01 2.23969675e-03
7.97458260e+00 2.20870364e-03 3.70873383e+01 1.43020045e-03
8.10116328e+00 2.24376242e-03 4.33541807e+01 2.94265286e-03
8.22774395e+00 2.27882121e-03 4.45231603e+01 3.36657280e-03
