frequency_Hz Strouhal SPL_dB_smoothed
1.26580676e-01 3.50587879e-05 1.99388895e+01
2.53161352e-01 7.01175757e-05 2.01376826e+01
3.79742029e-01 1.05176364e-04 2.03555472e+01
5.06322705e-01 1.40235151e-04 2.05521618e+01
6.32903381e-01 1.75293939e-04 2.07555735e+01
7.59484057e-01 2.10352727e-04 2.09708114e+01
8.86064733e-01 2.45411515e-04 2.12050536e+01
1.01264541e+00 2.80470303e-04 2.14436698e+01
1.13922609e+00 3.15529091e-04 2.16603234e+01
1.26580676e+00 3.50587879e-04 2.18787557e+01
1.39238744e+00 3.85646667e-04 2.20512927e+01
1.51896811e+00 4.20705454e-04 2.22536332e+01
1.64554879e+00 4.55764242e-04 2.24311182e+01
1.77212947e+00 4.90823030e-04 2.25930820e+01
1.89871014e+00 5.25881818e-04 2.27887037e+01
2.02529082e+00 5.60940606e-04 2.30020797e+01
2.15187150e+00 5.95999394e-04 2.32156887e+01
2.27845217e+00 6.31058182e-04 2.33978481e+01
2.40503285e+00 6.66116969e-04 2.35868578e+01
2.53161352e+00 7.01175757e-04 2.37882399e+01
2.65819420e+00 7.36234545e-04 2.40169978e+01
2.78477488e+00 7.71293333e-04 2.42461720e+01
2.91135555e+00 8.06352121e-04 2.44714326e+01
3.03793623e+00 8.41410909e-04 2.46684937e+01
3.16451690e+00 8.76469697e-04 2.48561897e+01
3.29109758e+00 9.11528485e-04 2.50622145e+01
3.41767826e+00 9.46587272e-04 2.52345754e+01
3.54425893e+00 9.81646060e-04 2.54734747e+01
3.67083961e+00 1.01670485e-03 2.57267027e+01
3.79742029e+00 1.05176364e-03 2.59565506e+01
3.92400096e+00 1.08682242e-03 2.61515286e+01
4.05058164e+00 1.12188121e-03 2.62935100e+01
4.17716231e+00 1.15694000e-03 2.64643922e+01
4.30374299e+00 1.19199879e-03 2.66593105e+01
4.43032367e+00 1.22705758e-03 2.67724089e+01
4.55690434e+00 1.26211636e-03 2.69266565e+01
4.68348502e+00 1.29717515e-03 2.71240599e+01
4.81006570e+00 1.33223394e-03 2.73578873e+01
4.93664637e+00 1.36729273e-03 2.75729919e+01
5.06322705e+00 1.40235151e-03 2.77473167e+01
5.18980772e+00 1.43741030e-03 2.79572738e+01
5.31638840e+00 1.47246909e-03 2.81936640e+01
5.44296908e+00 1.50752788e-03 2.84347508e+01
5.56954975e+00 1.54258667e-03 2.86370052e+01
5.69613043e+00 1.57764545e-03 2.87953728e+01
5.82271110e+00 1.61270424e-03 2.90304327e+01
5.94929178e+00 1.64776303e-03 2.92776056e+01
6.07587246e+00 1.68282182e-03 2.95059906e+01
6.20245313e+00 1.71788061e-03 2.96670732e+01
6.32903381e+00 1.75293939e-03 2.98330265e+01
6.45561449e+00 1.78799818e-03 3.00519625e+01
6.58219516e+00 1.82305697e-03 3.02657247e+01
6.70877584e+00 1.85811576e-03 3.04746257e+01
6.83535651e+00 1.89317454e-03 3.06457151e+01
6.96193719e+00 1.92823333e-03 3.07977385e+01
7.08851787e+00 1.96329212e-03 3.09069883e+01
7.21509854e+00 1.99835091e-03 3.10911023e+01
7.34167922e+00 2.03340970e-03 3.12925423e+01
7.46825990e+00 2.06846848e-03 3.15167295e+01
7.59484057e+00 2.10352727e-03 3.17136812e+01
7.72142125e+00 2.13858606e-03 3.19340616e+01
7.84800192e+00 2.17364485e-03 3.21537154e+01
7.97458260e+00 2.20870364e-03 3.23597003e+01
8.10116328e+00 2.24376242e-03 3.25652561e+01
8.22774395e+00 2.27882121e-03 3.27942776e+01
8.35432463e+00 2.31388000e-03 3.30041954e+01
8.48090530e+00 2.34893879e-03 3.31682238e+01
8.60748598e+00 2.38399757e-03 3.33866277e+01
8.73406666e+00 2.41905636e-03 3.35823229e+01
8.86064733e+00 2.45411515e-03 3.37882336e+01
8.98722801e+00 2.48917394e-03 3.40017303e+01
9.11380869e+00 2.52423273e-03 3.41568944e+01
9.24038936e+00 2.55929151e-03 3.43021839e+01
9.36697004e+00 2.59435030e-03 3.44640739e+01
9.49355071e+00 2.62940909e-03 3.46085858e+01
9.62013139e+00 2.66446788e-03 3.47946430e+01
9.74671207e+00 2.69952667e-03 3.49932176e+01
9.87329274e+00 2.73458545e-03 3.51641115e+01
9.99987342e+00 2.76964424e-03 3.53780423e+01
1.01264541e+01 2.80470303e-03 3.55892640e+01
1.02530348e+01 2.83976182e-03 3.57947990e+01
1.03796154e+01 2.87482061e-03 3.59695022e+01
1.05061961e+01 2.90987939e-03 3.62036744e+01
1.06327768e+01 2.94493818e-03 3.64194554e+01
1.07593575e+01 2.97999697e-03 3.66275913e+01
1.08859382e+01 3.01505576e-03 3.67679324e+01
1.10125188e+01 3.05011454e-03 3.69787909e+01
1.11390995e+01 3.08517333e-03 3.71919132e+01
1.12656802e+01 3.12023212e-03 3.73398907e+01
1.13922609e+01 3.15529091e-03 3.75057944e+01
1.15188415e+01 3.19034970e-03 3.77037958e+01
1.16454222e+01 3.22540848e-03 3.79436094e+01
1.17720029e+01 3.26046727e-03 3.81869706e+01
1.18985836e+01 3.29552606e-03 3.83846102e+01
1.20251642e+01 3.33058485e-03 3.85661104e+01
1.21517449e+01 3.36564364e-03 3.87760279e+01
1.22783256e+01 3.40070242e-03 3.89539391e+01
1.24049063e+01 3.43576121e-03 3.90688568e+01
1.25314869e+01 3.47082000e-03 3.92402532e+01
1.26580676e+01 3.50587879e-03 3.94197595e+01
1.27846483e+01 3.54093757e-03 3.96027105e+01
1.29112290e+01 3.57599636e-03 3.94582779e+01
1.30378096e+01 3.61105515e-03 3.94121239e+01
1.31643903e+01 3.64611394e-03 3.94023574e+01
1.32909710e+01 3.68117273e-03 3.93924370e+01
1.34175517e+01 3.71623151e-03 3.93791152e+01
1.35441324e+01 3.75129030e-03 3.93486354e+01
1.36707130e+01 3.78634909e-03 3.93647390e+01
1.37972937e+01 3.82140788e-03 3.93272994e+01
1.39238744e+01 3.85646667e-03 3.93774341e+01
1.40504551e+01 3.89152545e-03 3.93995039e+01
1.41770357e+01 3.92658424e-03 3.93316795e+01
1.43036164e+01 3.96164303e-03 3.93077116e+01
1.44301971e+01 3.99670182e-03 3.93165286e+01
1.45567778e+01 4.03176060e-03 3.92423034e+01
1.46833584e+01 4.06681939e-03 3.92406810e+01
1.48099391e+01 4.10187818e-03 3.92409304e+01
1.49365198e+01 4.13693697e-03 3.92437995e+01
1.50631005e+01 4.17199576e-03 3.92082140e+01
1.51896811e+01 4.20705454e-03 3.92008394e+01
1.53162618e+01 4.24211333e-03 3.91627754e+01
